Name, Type, Flops-Size, InputFileName, InputSize, NRep, Storage_T, Location1, Location2, Location3, OutPut-Name, Output-Size, NRepOut, OutLoc1, OutLoc2, OutLoc3
Job12,TEST,161061273600,inp_12.TEST,1073741824,3,1,CNAF,IN2P3,RAL,out_12.TEST,1073741824,3,RRCKI,CERN,GRIDKA
Job13,MERGE,197568495616,inp_13.MERGE,1073741824,3,0,GRIDKA,RRCKI,PIC,out_13.MERGE,1073741824,3,RRCKI,GRIDKA,PIC
Job14,MCSIMULATION,111669149696,inp_14.MCSIMULATION,0,0,0,0, 0, 0,out_14.MCSIMULATION,1073741824,3,CERN,RRCKI,CNAF
Job15,DATARECONSTRUCTION,140660178944,inp_15.DATARECONSTRUCTION,1073741824,2,0,CNAF,PIC,0,out_15.DATARECONSTRUCTION,1073741824,3,RRCKI,SARA,RAL
Job16,MCSIMULATION,108447924224,inp_16.MCSIMULATION,0,0,0,0, 0, 0,out_16.MCSIMULATION,1073741824,3,RRCKI,GRIDKA,RAL
Job17,MCSIMULATION,108447924224,inp_17.MCSIMULATION,0,0,1,0, 0, 0,out_17.MCSIMULATION,1073741824,3,SARA,IN2P3,PIC
Job18,DATARECONSTRUCTION,128849018880,inp_18.DATARECONSTRUCTION,2147483648,3,0,CNAF,CERN,RAL,out_18.DATARECONSTRUCTION,1073741824,3,PIC,IN2P3,SARA
Job19,DATARECONSTRUCTION,195421011968,inp_19.DATARECONSTRUCTION,1073741824,3,1,IN2P3,CNAF,RRCKI,out_19.DATARECONSTRUCTION,1073741824,3,RRCKI,RAL,PIC
Job20,TURBO,143881404416,inp_20.TURBO,3221225472,3,1,GRIDKA,RRCKI,PIC,out_20.TURBO,1073741824,3,CERN,RRCKI,SARA
Job21,MCSIMULATION,146028888064,inp_21.MCSIMULATION,0,0,1,0, 0, 0,out_21.MCSIMULATION,1073741824,3,CERN,GRIDKA,RAL
Job22,MCSIMULATION,193273528320,inp_22.MCSIMULATION,0,0,0,0, 0, 0,out_22.MCSIMULATION,1073741824,3,SARA,RRCKI,CERN
Job23,MCSIMULATION,150323855360,inp_23.MCSIMULATION,0,0,0,0, 0, 0,out_23.MCSIMULATION,1073741824,3,CERN,PIC,SARA
Job24,MCSIMULATION,128849018880,inp_24.MCSIMULATION,0,0,0,0, 0, 0,out_24.MCSIMULATION,1073741824,3,RRCKI,RAL,CERN
Job25,MCSIMULATION,213674622976,inp_25.MCSIMULATION,0,0,1,0, 0, 0,out_25.MCSIMULATION,1073741824,3,PIC,CERN,RRCKI
Job26,MCSIMULATION,122406567936,inp_26.MCSIMULATION,0,0,1,0, 0, 0,out_26.MCSIMULATION,1073741824,3,CERN,IN2P3,RAL
Job27,MCSIMULATION,179314884608,inp_27.MCSIMULATION,0,0,1,0, 0, 0,out_27.MCSIMULATION,1073741824,3,IN2P3,CERN,CNAF
Job28,DATARECONSTRUCTION,157840048128,inp_28.DATARECONSTRUCTION,1073741824,3,1,SARA,CNAF,GRIDKA,out_28.DATARECONSTRUCTION,1073741824,3,CERN,PIC,RRCKI
Job29,MERGE,115964116992,inp_29.MERGE,3221225472,2,0,RRCKI,CERN,0,out_29.MERGE,1073741824,3,PIC,RRCKI,GRIDKA
Job30,MERGE,128849018880,inp_30.MERGE,1073741824,3,0,CNAF,GRIDKA,RAL,out_30.MERGE,1073741824,3,GRIDKA,IN2P3,SARA
Job31,MCSIMULATION,141733920768,inp_31.MCSIMULATION,0,0,0,0, 0, 0,out_31.MCSIMULATION,1073741824,3,RAL,CNAF,IN2P3
Job32,DATASTRIPPING,140660178944,inp_32.DATASTRIPPING,3221225472,3,1,SARA,GRIDKA,IN2P3,out_32.DATASTRIPPING,1073741824,3,IN2P3,CERN,CNAF
Job33,DATASTRIPPING,166429982720,inp_33.DATASTRIPPING,1073741824,3,0,RAL,SARA,PIC,out_33.DATASTRIPPING,1073741824,3,SARA,GRIDKA,IN2P3
Job34,MCSIMULATION,171798691840,inp_34.MCSIMULATION,0,0,1,0, 0, 0,out_34.MCSIMULATION,1073741824,3,IN2P3,RAL,SARA
Job35,MCSIMULATION,149250113536,inp_35.MCSIMULATION,0,0,1,0, 0, 0,out_35.MCSIMULATION,1073741824,3,IN2P3,SARA,RRCKI
Job36,TEST,115964116992,inp_36.TEST,1073741824,3,0,IN2P3,PIC,SARA,out_36.TEST,1073741824,3,IN2P3,CNAF,RRCKI
Job37,MCSIMULATION,199715979264,inp_37.MCSIMULATION,0,0,1,0, 0, 0,out_37.MCSIMULATION,1073741824,3,CERN,RRCKI,RAL
Job38,MERGE,213674622976,inp_38.MERGE,2147483648,3,0,RRCKI,RAL,IN2P3,out_38.MERGE,1073741824,3,SARA,CNAF,IN2P3
Job39,DATASTRIPPING,121332826112,inp_39.DATASTRIPPING,2147483648,3,0,RAL,GRIDKA,PIC,out_39.DATASTRIPPING,1073741824,3,SARA,CERN,RRCKI
Job40,MCSIMULATION,181462368256,inp_40.MCSIMULATION,0,0,0,0, 0, 0,out_40.MCSIMULATION,1073741824,3,GRIDKA,RRCKI,SARA
Job41,MCSIMULATION,191126044672,inp_41.MCSIMULATION,0,0,0,0, 0, 0,out_41.MCSIMULATION,1073741824,3,PIC,RAL,CNAF
Job42,DATASTRIPPING,161061273600,inp_42.DATASTRIPPING,1073741824,3,0,GRIDKA,IN2P3,CNAF,out_42.DATASTRIPPING,1073741824,3,CNAF,SARA,GRIDKA
Job43,TURBO,110595407872,inp_43.TURBO,1073741824,2,1,GRIDKA,SARA,0,out_43.TURBO,1073741824,3,IN2P3,RAL,CERN
Job44,MCSIMULATION,192199786496,inp_44.MCSIMULATION,0,0,0,0, 0, 0,out_44.MCSIMULATION,1073741824,3,IN2P3,GRIDKA,CERN
Job45,TEST,139586437120,inp_45.TEST,1073741824,3,0,CNAF,CERN,PIC,out_45.TEST,1073741824,3,SARA,GRIDKA,RRCKI
Job46,MCSIMULATION,211527139328,inp_46.MCSIMULATION,0,0,0,0, 0, 0,out_46.MCSIMULATION,1073741824,3,PIC,IN2P3,GRIDKA
Job47,MCSIMULATION,206158430208,inp_47.MCSIMULATION,0,0,1,0, 0, 0,out_47.MCSIMULATION,1073741824,3,RAL,IN2P3,CERN
Job48,MCSIMULATION,167503724544,inp_48.MCSIMULATION,0,0,0,0, 0, 0,out_48.MCSIMULATION,1073741824,3,RRCKI,GRIDKA,IN2P3
Job49,DATARECONSTRUCTION,197568495616,inp_49.DATARECONSTRUCTION,1073741824,2,0,RAL,PIC,0,out_49.DATARECONSTRUCTION,1073741824,3,RAL,IN2P3,PIC
Job50,MCSIMULATION,152471339008,inp_50.MCSIMULATION,0,0,0,0, 0, 0,out_50.MCSIMULATION,1073741824,3,GRIDKA,CERN,RAL
Job51,DATARECONSTRUCTION,169651208192,inp_51.DATARECONSTRUCTION,3221225472,3,1,PIC,RAL,RRCKI,out_51.DATARECONSTRUCTION,1073741824,3,RRCKI,GRIDKA,CERN
Job52,MCSIMULATION,204010946560,inp_52.MCSIMULATION,0,0,0,0, 0, 0,out_52.MCSIMULATION,1073741824,3,IN2P3,RRCKI,CERN
Job53,MCSIMULATION,124554051584,inp_53.MCSIMULATION,0,0,0,0, 0, 0,out_53.MCSIMULATION,1073741824,3,CNAF,GRIDKA,RRCKI
Job54,USER,129922760704,inp_54.USER,3221225472,3,0,CNAF,PIC,GRIDKA,out_54.USER,1073741824,3,RAL,SARA,RRCKI
Job55,DATARECONSTRUCTION,172872433664,inp_55.DATARECONSTRUCTION,2147483648,3,1,IN2P3,PIC,CERN,out_55.DATARECONSTRUCTION,1073741824,3,SARA,PIC,IN2P3
Job56,MCSIMULATION,119185342464,inp_56.MCSIMULATION,0,0,1,0, 0, 0,out_56.MCSIMULATION,1073741824,3,RAL,GRIDKA,SARA
Job57,DATASTRIPPING,204010946560,inp_57.DATASTRIPPING,2147483648,2,0,SARA,IN2P3,0,out_57.DATASTRIPPING,1073741824,3,IN2P3,CNAF,PIC
Job58,DATARECONSTRUCTION,148176371712,inp_58.DATARECONSTRUCTION,2147483648,3,0,IN2P3,PIC,RAL,out_58.DATARECONSTRUCTION,1073741824,3,RRCKI,CERN,CNAF
Job59,DATASTRIPPING,191126044672,inp_59.DATASTRIPPING,3221225472,3,1,RRCKI,GRIDKA,IN2P3,out_59.DATASTRIPPING,1073741824,3,SARA,GRIDKA,RRCKI
Job60,DATARECONSTRUCTION,121332826112,inp_60.DATARECONSTRUCTION,3221225472,3,0,IN2P3,GRIDKA,RRCKI,out_60.DATARECONSTRUCTION,1073741824,3,PIC,CNAF,SARA
Job61,USER,159987531776,inp_61.USER,2147483648,2,0,PIC,GRIDKA,0,out_61.USER,1073741824,3,RRCKI,GRIDKA,IN2P3
Job62,DATASTRIPPING,207232172032,inp_62.DATASTRIPPING,2147483648,2,1,CERN,IN2P3,0,out_62.DATASTRIPPING,1073741824,3,PIC,SARA,CERN
Job63,DATARECONSTRUCTION,168577466368,inp_63.DATARECONSTRUCTION,1073741824,2,1,RRCKI,CERN,0,out_63.DATARECONSTRUCTION,1073741824,3,RAL,CERN,GRIDKA
Job64,MCSIMULATION,111669149696,inp_64.MCSIMULATION,0,0,0,0, 0, 0,out_64.MCSIMULATION,1073741824,3,GRIDKA,PIC,RAL
Job65,DATARECONSTRUCTION,138512695296,inp_65.DATARECONSTRUCTION,3221225472,3,0,SARA,CNAF,IN2P3,out_65.DATARECONSTRUCTION,1073741824,3,IN2P3,CNAF,SARA
Job66,DATARECONSTRUCTION,180388626432,inp_66.DATARECONSTRUCTION,2147483648,2,0,GRIDKA,RAL,0,out_66.DATARECONSTRUCTION,1073741824,3,RRCKI,PIC,SARA
Job67,DATARECONSTRUCTION,153545080832,inp_67.DATARECONSTRUCTION,2147483648,3,0,IN2P3,CERN,PIC,out_67.DATARECONSTRUCTION,1073741824,3,SARA,IN2P3,RRCKI
Job68,USER,147102629888,inp_68.USER,1073741824,3,1,PIC,RRCKI,IN2P3,out_68.USER,1073741824,3,IN2P3,PIC,CERN
Job69,MCSIMULATION,205084688384,inp_69.MCSIMULATION,0,0,1,0, 0, 0,out_69.MCSIMULATION,1073741824,3,CERN,GRIDKA,PIC
Job70,MCSIMULATION,139586437120,inp_70.MCSIMULATION,0,0,1,0, 0, 0,out_70.MCSIMULATION,1073741824,3,SARA,RAL,CNAF
Job71,TURBO,195421011968,inp_71.TURBO,1073741824,3,0,RAL,CERN,GRIDKA,out_71.TURBO,1073741824,3,IN2P3,SARA,PIC
Job72,DATARECONSTRUCTION,197568495616,inp_72.DATARECONSTRUCTION,1073741824,1,1,CNAF,0,0,out_72.DATARECONSTRUCTION,1073741824,3,CNAF,CERN,IN2P3
Job73,DATASTRIPPING,163208757248,inp_73.DATASTRIPPING,3221225472,2,1,RAL,PIC,0,out_73.DATASTRIPPING,1073741824,3,CERN,RRCKI,IN2P3
Job74,MCSIMULATION,148176371712,inp_74.MCSIMULATION,0,0,1,0, 0, 0,out_74.MCSIMULATION,1073741824,3,CERN,IN2P3,PIC
Job75,MCSIMULATION,163208757248,inp_75.MCSIMULATION,0,0,0,0, 0, 0,out_75.MCSIMULATION,1073741824,3,CERN,SARA,GRIDKA
Job76,DATARECONSTRUCTION,157840048128,inp_76.DATARECONSTRUCTION,1073741824,3,1,PIC,SARA,RAL,out_76.DATARECONSTRUCTION,1073741824,3,RRCKI,SARA,GRIDKA
Job77,DATASTRIPPING,199715979264,inp_77.DATASTRIPPING,3221225472,1,0,CERN,0,0,out_77.DATASTRIPPING,1073741824,3,CNAF,IN2P3,RRCKI
Job78,MCSIMULATION,119185342464,inp_78.MCSIMULATION,0,0,1,0, 0, 0,out_78.MCSIMULATION,1073741824,3,PIC,SARA,CERN
Job79,DATASTRIPPING,208305913856,inp_79.DATASTRIPPING,1073741824,3,0,SARA,CERN,PIC,out_79.DATASTRIPPING,1073741824,3,CNAF,PIC,CERN
Job80,MCSIMULATION,181462368256,inp_80.MCSIMULATION,0,0,1,0, 0, 0,out_80.MCSIMULATION,1073741824,3,RRCKI,CERN,GRIDKA
Job81,USER,123480309760,inp_81.USER,1073741824,3,0,GRIDKA,CNAF,SARA,out_81.USER,1073741824,3,RRCKI,RAL,CNAF
Job82,MCSIMULATION,146028888064,inp_82.MCSIMULATION,0,0,0,0, 0, 0,out_82.MCSIMULATION,1073741824,3,IN2P3,RRCKI,CNAF
Job83,MCSIMULATION,191126044672,inp_83.MCSIMULATION,0,0,0,0, 0, 0,out_83.MCSIMULATION,1073741824,3,RAL,RRCKI,CNAF
Job84,MERGE,186831077376,inp_84.MERGE,3221225472,3,0,RRCKI,SARA,GRIDKA,out_84.MERGE,1073741824,3,PIC,CERN,RAL
Job85,MCSIMULATION,171798691840,inp_85.MCSIMULATION,0,0,1,0, 0, 0,out_85.MCSIMULATION,1073741824,3,RAL,CERN,GRIDKA
Job86,DATASTRIPPING,111669149696,inp_86.DATASTRIPPING,2147483648,3,0,CERN,CNAF,IN2P3,out_86.DATASTRIPPING,1073741824,3,SARA,PIC,IN2P3
Job87,WGPRODUCTION,134217728000,inp_87.WGPRODUCTION,1073741824,3,0,PIC,CNAF,GRIDKA,out_87.WGPRODUCTION,1073741824,3,GRIDKA,RRCKI,SARA
Job88,DATASTRIPPING,109521666048,inp_88.DATASTRIPPING,1073741824,2,1,SARA,IN2P3,0,out_88.DATASTRIPPING,1073741824,3,IN2P3,CNAF,GRIDKA
Job89,DATARECONSTRUCTION,136365211648,inp_89.DATARECONSTRUCTION,2147483648,2,0,PIC,CNAF,0,out_89.DATARECONSTRUCTION,1073741824,3,PIC,IN2P3,RRCKI
Job90,MCSIMULATION,132070244352,inp_90.MCSIMULATION,0,0,0,0, 0, 0,out_90.MCSIMULATION,1073741824,3,CERN,GRIDKA,SARA
Job91,MCSIMULATION,119185342464,inp_91.MCSIMULATION,0,0,1,0, 0, 0,out_91.MCSIMULATION,1073741824,3,IN2P3,CNAF,GRIDKA
Job92,MCSIMULATION,207232172032,inp_92.MCSIMULATION,0,0,0,0, 0, 0,out_92.MCSIMULATION,1073741824,3,CERN,PIC,CNAF
Job93,MCSIMULATION,179314884608,inp_93.MCSIMULATION,0,0,1,0, 0, 0,out_93.MCSIMULATION,1073741824,3,GRIDKA,CERN,IN2P3
Job94,MCSIMULATION,155692564480,inp_94.MCSIMULATION,0,0,0,0, 0, 0,out_94.MCSIMULATION,1073741824,3,SARA,RRCKI,CERN
Job95,USER,151397597184,inp_95.USER,1073741824,3,0,CNAF,CERN,RAL,out_95.USER,1073741824,3,PIC,RAL,IN2P3
Job96,MCSIMULATION,178241142784,inp_96.MCSIMULATION,0,0,0,0, 0, 0,out_96.MCSIMULATION,1073741824,3,RAL,RRCKI,CNAF
Job97,TURBO,161061273600,inp_97.TURBO,3221225472,3,1,CERN,CNAF,GRIDKA,out_97.TURBO,1073741824,3,RAL,CNAF,IN2P3
Job98,DATASTRIPPING,206158430208,inp_98.DATASTRIPPING,3221225472,3,1,GRIDKA,SARA,RRCKI,out_98.DATASTRIPPING,1073741824,3,PIC,RRCKI,CERN
Job99,DATARECONSTRUCTION,207232172032,inp_99.DATARECONSTRUCTION,2147483648,1,0,GRIDKA,0,0,out_99.DATARECONSTRUCTION,1073741824,3,PIC,GRIDKA,CNAF
Job100,DATASTRIPPING,121332826112,inp_100.DATASTRIPPING,1073741824,3,0,RRCKI,GRIDKA,CERN,out_100.DATASTRIPPING,1073741824,3,RRCKI,GRIDKA,PIC
Job101,MCSIMULATION,210453397504,inp_101.MCSIMULATION,0,0,0,0, 0, 0,out_101.MCSIMULATION,1073741824,3,SARA,RRCKI,GRIDKA
Job102,DATASTRIPPING,135291469824,inp_102.DATASTRIPPING,2147483648,2,1,RAL,CERN,0,out_102.DATASTRIPPING,1073741824,3,RAL,IN2P3,GRIDKA
Job103,MCSIMULATION,177167400960,inp_103.MCSIMULATION,0,0,1,0, 0, 0,out_103.MCSIMULATION,1073741824,3,CNAF,PIC,RRCKI
Job104,WGPRODUCTION,121332826112,inp_104.WGPRODUCTION,1073741824,3,0,CERN,RAL,CNAF,out_104.WGPRODUCTION,1073741824,3,RAL,CERN,SARA
Job105,DATARECONSTRUCTION,114890375168,inp_105.DATARECONSTRUCTION,1073741824,3,0,IN2P3,PIC,CERN,out_105.DATARECONSTRUCTION,1073741824,3,CERN,PIC,RAL
Job106,MCSIMULATION,159987531776,inp_106.MCSIMULATION,0,0,1,0, 0, 0,out_106.MCSIMULATION,1073741824,3,CNAF,RAL,CERN
Job107,DATASTRIPPING,175019917312,inp_107.DATASTRIPPING,1073741824,1,1,PIC,0,0,out_107.DATASTRIPPING,1073741824,3,PIC,CERN,SARA
Job108,USER,191126044672,inp_108.USER,1073741824,3,0,IN2P3,SARA,CERN,out_108.USER,1073741824,3,PIC,CNAF,SARA
Job109,DATARECONSTRUCTION,111669149696,inp_109.DATARECONSTRUCTION,3221225472,3,1,SARA,GRIDKA,CERN,out_109.DATARECONSTRUCTION,1073741824,3,GRIDKA,IN2P3,CERN
Job110,MERGE,168577466368,inp_110.MERGE,2147483648,3,1,SARA,RAL,CNAF,out_110.MERGE,1073741824,3,RAL,IN2P3,CERN
Job111,MERGE,159987531776,inp_111.MERGE,3221225472,2,0,RAL,RRCKI,0,out_111.MERGE,1073741824,3,GRIDKA,RAL,CERN
Job112,MCSIMULATION,188978561024,inp_112.MCSIMULATION,0,0,1,0, 0, 0,out_112.MCSIMULATION,1073741824,3,GRIDKA,SARA,CERN
Job113,MCSIMULATION,164282499072,inp_113.MCSIMULATION,0,0,0,0, 0, 0,out_113.MCSIMULATION,1073741824,3,CNAF,PIC,RRCKI
Job114,MCSIMULATION,206158430208,inp_114.MCSIMULATION,0,0,1,0, 0, 0,out_114.MCSIMULATION,1073741824,3,CERN,CNAF,RAL
Job115,TURBO,161061273600,inp_115.TURBO,1073741824,2,1,SARA,RRCKI,0,out_115.TURBO,1073741824,3,GRIDKA,SARA,RAL
Job116,DATASTRIPPING,155692564480,inp_116.DATASTRIPPING,3221225472,1,1,RRCKI,0,0,out_116.DATASTRIPPING,1073741824,3,GRIDKA,PIC,CERN
Job117,MCSIMULATION,117037858816,inp_117.MCSIMULATION,0,0,1,0, 0, 0,out_117.MCSIMULATION,1073741824,3,CNAF,IN2P3,CERN
Job118,MCSIMULATION,193273528320,inp_118.MCSIMULATION,0,0,1,0, 0, 0,out_118.MCSIMULATION,1073741824,3,CNAF,RRCKI,SARA
Job119,USER,132070244352,inp_119.USER,2147483648,2,0,GRIDKA,SARA,0,out_119.USER,1073741824,3,RAL,GRIDKA,RRCKI
Job120,MCSIMULATION,146028888064,inp_120.MCSIMULATION,0,0,0,0, 0, 0,out_120.MCSIMULATION,1073741824,3,GRIDKA,IN2P3,SARA
Job121,MCSIMULATION,192199786496,inp_121.MCSIMULATION,0,0,0,0, 0, 0,out_121.MCSIMULATION,1073741824,3,CNAF,CERN,GRIDKA
Job122,MCSIMULATION,119185342464,inp_122.MCSIMULATION,0,0,1,0, 0, 0,out_122.MCSIMULATION,1073741824,3,SARA,PIC,RAL
Job123,MERGE,206158430208,inp_123.MERGE,1073741824,2,0,PIC,IN2P3,0,out_123.MERGE,1073741824,3,IN2P3,PIC,RAL
Job124,DATASTRIPPING,192199786496,inp_124.DATASTRIPPING,3221225472,3,0,IN2P3,CNAF,GRIDKA,out_124.DATASTRIPPING,1073741824,3,RAL,IN2P3,PIC
Job125,MCSIMULATION,108447924224,inp_125.MCSIMULATION,0,0,1,0, 0, 0,out_125.MCSIMULATION,1073741824,3,IN2P3,CERN,RAL
Job126,DATASTRIPPING,117037858816,inp_126.DATASTRIPPING,1073741824,3,1,PIC,RAL,IN2P3,out_126.DATASTRIPPING,1073741824,3,RRCKI,PIC,IN2P3
Job127,WGPRODUCTION,153545080832,inp_127.WGPRODUCTION,2147483648,3,0,CERN,SARA,CNAF,out_127.WGPRODUCTION,1073741824,3,RAL,IN2P3,CNAF
Job128,MCSIMULATION,199715979264,inp_128.MCSIMULATION,0,0,1,0, 0, 0,out_128.MCSIMULATION,1073741824,3,GRIDKA,RAL,SARA
Job129,DATARECONSTRUCTION,184683593728,inp_129.DATARECONSTRUCTION,3221225472,3,0,RRCKI,CERN,CNAF,out_129.DATARECONSTRUCTION,1073741824,3,PIC,CERN,GRIDKA
Job130,TURBO,138512695296,inp_130.TURBO,3221225472,3,1,RRCKI,SARA,PIC,out_130.TURBO,1073741824,3,PIC,RAL,IN2P3
Job131,TURBO,212600881152,inp_131.TURBO,2147483648,3,1,CNAF,CERN,PIC,out_131.TURBO,1073741824,3,PIC,CERN,SARA
Job132,DATASTRIPPING,109521666048,inp_132.DATASTRIPPING,3221225472,3,0,SARA,PIC,CNAF,out_132.DATASTRIPPING,1073741824,3,CERN,IN2P3,RRCKI
Job133,MCSIMULATION,181462368256,inp_133.MCSIMULATION,0,0,0,0, 0, 0,out_133.MCSIMULATION,1073741824,3,RRCKI,IN2P3,GRIDKA
Job134,DATASTRIPPING,166429982720,inp_134.DATASTRIPPING,2147483648,2,1,RRCKI,SARA,0,out_134.DATASTRIPPING,1073741824,3,GRIDKA,CNAF,IN2P3
Job135,MCSIMULATION,172872433664,inp_135.MCSIMULATION,0,0,0,0, 0, 0,out_135.MCSIMULATION,1073741824,3,SARA,IN2P3,RRCKI
Job136,USER,179314884608,inp_136.USER,3221225472,3,0,RAL,GRIDKA,RRCKI,out_136.USER,1073741824,3,SARA,RRCKI,IN2P3
Job137,MCSIMULATION,179314884608,inp_137.MCSIMULATION,0,0,1,0, 0, 0,out_137.MCSIMULATION,1073741824,3,CNAF,CERN,GRIDKA
Job138,DATASTRIPPING,159987531776,inp_138.DATASTRIPPING,1073741824,3,0,CERN,GRIDKA,CNAF,out_138.DATASTRIPPING,1073741824,3,CERN,PIC,IN2P3
Job139,MCSIMULATION,172872433664,inp_139.MCSIMULATION,0,0,0,0, 0, 0,out_139.MCSIMULATION,1073741824,3,CERN,RAL,CNAF
Job140,DATASTRIPPING,108447924224,inp_140.DATASTRIPPING,1073741824,3,1,CERN,IN2P3,RRCKI,out_140.DATASTRIPPING,1073741824,3,CERN,SARA,RAL
Job141,MCSIMULATION,118111600640,inp_141.MCSIMULATION,0,0,1,0, 0, 0,out_141.MCSIMULATION,1073741824,3,SARA,GRIDKA,RRCKI
Job142,DATASTRIPPING,192199786496,inp_142.DATASTRIPPING,3221225472,2,0,RRCKI,IN2P3,0,out_142.DATASTRIPPING,1073741824,3,RAL,PIC,CERN
Job143,WGPRODUCTION,161061273600,inp_143.WGPRODUCTION,3221225472,2,0,PIC,CERN,0,out_143.WGPRODUCTION,1073741824,3,PIC,CNAF,SARA
Job144,DATARECONSTRUCTION,158913789952,inp_144.DATARECONSTRUCTION,1073741824,2,1,PIC,CNAF,0,out_144.DATARECONSTRUCTION,1073741824,3,CERN,RAL,PIC
Job145,DATARECONSTRUCTION,168577466368,inp_145.DATARECONSTRUCTION,1073741824,2,1,IN2P3,CNAF,0,out_145.DATARECONSTRUCTION,1073741824,3,SARA,GRIDKA,CERN
Job146,DATARECONSTRUCTION,181462368256,inp_146.DATARECONSTRUCTION,2147483648,2,0,PIC,RRCKI,0,out_146.DATARECONSTRUCTION,1073741824,3,CNAF,GRIDKA,RAL
Job147,MCSIMULATION,192199786496,inp_147.MCSIMULATION,0,0,0,0, 0, 0,out_147.MCSIMULATION,1073741824,3,IN2P3,SARA,PIC
Job148,MCSIMULATION,173946175488,inp_148.MCSIMULATION,0,0,0,0, 0, 0,out_148.MCSIMULATION,1073741824,3,RRCKI,CERN,IN2P3
Job149,DATASTRIPPING,194347270144,inp_149.DATASTRIPPING,2147483648,3,1,PIC,IN2P3,SARA,out_149.DATASTRIPPING,1073741824,3,RAL,CERN,PIC
Job150,MCSIMULATION,192199786496,inp_150.MCSIMULATION,0,0,1,0, 0, 0,out_150.MCSIMULATION,1073741824,3,CNAF,RRCKI,SARA
Job151,MCSIMULATION,185757335552,inp_151.MCSIMULATION,0,0,0,0, 0, 0,out_151.MCSIMULATION,1073741824,3,CERN,IN2P3,RRCKI
Job152,DATARECONSTRUCTION,195421011968,inp_152.DATARECONSTRUCTION,2147483648,3,0,CNAF,CERN,RRCKI,out_152.DATARECONSTRUCTION,1073741824,3,CERN,GRIDKA,RAL
Job153,USER,146028888064,inp_153.USER,2147483648,2,1,SARA,PIC,0,out_153.USER,1073741824,3,CNAF,IN2P3,SARA
Job154,USER,207232172032,inp_154.USER,2147483648,3,0,CNAF,PIC,RRCKI,out_154.USER,1073741824,3,SARA,IN2P3,RRCKI
Job155,DATARECONSTRUCTION,109521666048,inp_155.DATARECONSTRUCTION,1073741824,2,1,RAL,RRCKI,0,out_155.DATARECONSTRUCTION,1073741824,3,RRCKI,GRIDKA,IN2P3
Job156,DATASTRIPPING,156766306304,inp_156.DATASTRIPPING,1073741824,2,1,IN2P3,PIC,0,out_156.DATASTRIPPING,1073741824,3,IN2P3,CERN,SARA
Job157,DATARECONSTRUCTION,151397597184,inp_157.DATARECONSTRUCTION,3221225472,3,1,RRCKI,CNAF,RAL,out_157.DATARECONSTRUCTION,1073741824,3,SARA,IN2P3,RRCKI
Job158,DATARECONSTRUCTION,123480309760,inp_158.DATARECONSTRUCTION,1073741824,3,1,GRIDKA,IN2P3,CERN,out_158.DATARECONSTRUCTION,1073741824,3,CERN,CNAF,RAL
Job159,MCSIMULATION,114890375168,inp_159.MCSIMULATION,0,0,1,0, 0, 0,out_159.MCSIMULATION,1073741824,3,SARA,PIC,IN2P3
Job160,MCSIMULATION,169651208192,inp_160.MCSIMULATION,0,0,0,0, 0, 0,out_160.MCSIMULATION,1073741824,3,RRCKI,RAL,IN2P3
